x,y,layer1,layer2,voltage1,voltage2,current
3542.56,3632.63,TOP_LAYER,GND,0.00124424,0.00124492,-0.00502478
3542.56,3632.63,GND,POWER,0.00124492,0.00124791,-0.00170292
3542.56,3632.63,POWER,BOTTOM_LAYER,0.00124791,0.00124814,-0.00170292
3542.56,3664.13,TOP_LAYER,GND,0.00123501,0.00123619,-0.00879165
3542.56,3664.13,GND,POWER,0.00123619,0.00124107,-0.00278085
3542.56,3664.13,POWER,BOTTOM_LAYER,0.00124107,0.00124145,-0.00278085
3545.08,4081.45,TOP_LAYER,GND,0.000800905,0.000800934,-0.000219355
3545.08,4081.45,GND,POWER,0.000800934,0.000798874,0.00117461
3545.08,4081.45,POWER,BOTTOM_LAYER,0.000798874,0.000798715,0.00117461
3545.08,4112.95,TOP_LAYER,GND,0.000792547,0.000792441,0.000786352
3545.08,4112.95,GND,POWER,0.000792441,0.000792541,-5.7441e-05
3545.08,4112.95,POWER,BOTTOM_LAYER,0.000792541,0.000792549,-5.7441e-05
3545.08,4144.45,TOP_LAYER,GND,0.000792547,0.000792441,0.000786352
3545.08,4144.45,GND,POWER,0.000792441,0.000792541,-5.7441e-05
3545.08,4144.45,POWER,BOTTOM_LAYER,0.000792541,0.000792549,-5.7441e-05
3547.48,3297.99,TOP_LAYER,GND,0.00144374,0.0014439,-0.00119693
3547.48,3297.99,GND,POWER,0.0014439,0.00144537,-0.000841065
3547.48,3297.99,POWER,BOTTOM_LAYER,0.00144537,0.00144549,-0.000841065
3547.48,3337.36,TOP_LAYER,GND,0.00144374,0.00144371,0.000210963
3547.48,3337.36,GND,POWER,0.00144371,0.00144465,-0.000534223
3547.48,3337.36,POWER,BOTTOM_LAYER,0.00144465,0.00144472,-0.000534223
3547.48,3376.73,TOP_LAYER,GND,0.00144194,0.00144211,-0.00127175
3547.48,3376.73,GND,POWER,0.00144211,0.00144364,-0.000873544
3547.48,3376.73,POWER,BOTTOM_LAYER,0.00144364,0.00144376,-0.000873544
