x;y;layer1;layer2;voltage1;voltage2;current
3542.56;3632.63;TOP_LAYER;GND;0.00123836;0.00123903;-0.00500133
3542.56;3632.63;GND;POWER;0.00123903;0.00124201;-0.00169497
3542.56;3632.63;POWER;BOTTOM_LAYER;0.00124201;0.00124223;-0.00169497
3542.56;3664.13;TOP_LAYER;GND;0.00122916;0.00123034;-0.00875065
3542.56;3664.13;GND;POWER;0.00123034;0.0012352;-0.00276788
3542.56;3664.13;POWER;BOTTOM_LAYER;0.0012352;0.00123557;-0.00276788
3545.08;4081.45;TOP_LAYER;GND;0.000797086;0.000797115;-0.000218261
3545.08;4081.45;GND;POWER;0.000797115;0.000795064;0.00116914
3545.08;4081.45;POWER;BOTTOM_LAYER;0.000795064;0.000794906;0.00116914
3545.08;4112.95;TOP_LAYER;GND;0.000788767;0.000788661;0.000782702
3545.08;4112.95;GND;POWER;0.000788661;0.000788761;-5.71531e-05
3545.08;4112.95;POWER;BOTTOM_LAYER;0.000788761;0.000788769;-5.71531e-05
3545.08;4144.45;TOP_LAYER;GND;0.000788767;0.000788661;0.000782702
3545.08;4144.45;GND;POWER;0.000788661;0.000788761;-5.71531e-05
3545.08;4144.45;POWER;BOTTOM_LAYER;0.000788761;0.000788769;-5.71531e-05
3547.48;3297.99;TOP_LAYER;GND;0.00143692;0.00143708;-0.00119136
3547.48;3297.99;GND;POWER;0.00143708;0.00143855;-0.00083715
3547.48;3297.99;POWER;BOTTOM_LAYER;0.00143855;0.00143866;-0.00083715
3547.48;3337.36;TOP_LAYER;GND;0.00143692;0.00143689;0.000209981
3547.48;3337.36;GND;POWER;0.00143689;0.00143782;-0.000531736
3547.48;3337.36;POWER;BOTTOM_LAYER;0.00143782;0.0014379;-0.000531736
3547.48;3376.73;TOP_LAYER;GND;0.00143513;0.0014353;-0.00126583
3547.48;3376.73;GND;POWER;0.0014353;0.00143682;-0.000869477
3547.48;3376.73;POWER;BOTTOM_LAYER;0.00143682;0.00143694;-0.000869477
3547.48;4365.9;TOP_LAYER;GND;0.000631815;0.000631881;-0.000489813
3547.48;4365.9;GND;POWER;0.000631881;0.00063036;0.000867111
3547.48;4365.9;POWER;BOTTOM_LAYER;0.00063036;0.000630242;0.000867111
3547.48;4405.27;TOP_LAYER;GND;0.000630111;0.000629981;0.000964995
3547.48;4405.27;GND;POWER;0.000629981;0.00062933;0.000370934
3547.48;4405.27;POWER;BOTTOM_LAYER;0.00062933;0.00062928;0.000370934
3547.48;4444.64;TOP_LAYER;GND;0.000629253;0.000629216;0.000269547
3547.48;4444.64;GND;POWER;0.000629216;0.000628596;0.000353434
3547.48;4444.64;POWER;BOTTOM_LAYER;0.000628596;0.000628549;0.000353434
3575.48;3525.35;TOP_LAYER;GND;0.00125915;0.00125893;0.00160009
3575.48;3525.35;GND;POWER;0.00125893;0.00125588;0.0017401
3575.48;3525.35;POWER;BOTTOM_LAYER;0.00125588;0.00125564;0.0017401
3575.48;3550.94;TOP_LAYER;GND;0.00125767;0.00125893;-0.00936347
3575.48;3550.94;GND;POWER;0.00125893;0.00125588;0.0017401
3575.48;3550.94;POWER;BOTTOM_LAYER;0.00125588;0.00125564;0.0017401
3575.48;3728.11;TOP_LAYER;GND;0.00121521;0.00121444;0.00564469
3575.48;3728.11;GND;POWER;0.00121444;0.00122127;-0.00388733
3575.48;3728.11;POWER;BOTTOM_LAYER;0.00122127;0.00122179;-0.00388733
3575.48;3753.7;TOP_LAYER;GND;0.00121521;0.00121444;0.00564469
3575.48;3753.7;GND;POWER;0.00121444;0.00122127;-0.00388733
3575.48;3753.7;POWER;BOTTOM_LAYER;0.00122127;0.00122179;-0.00388733
3577.99;4005.67;TOP_LAYER;GND;0.000808843;0.000811357;-0.018627
3577.99;4005.67;GND;POWER;0.000811357;0.000805484;0.00334726
3577.99;4005.67;POWER;BOTTOM_LAYER;0.000805484;0.000805032;0.00334726
3577.99;4031.26;TOP_LAYER;GND;0.000808843;0.000807474;0.0101414
3577.99;4031.26;GND;POWER;0.000807474;0.000802343;0.00292412
3577.99;4031.26;POWER;BOTTOM_LAYER;0.000802343;0.000801948;0.00292412
3577.99;4208.42;TOP_LAYER;GND;0.000771875;0.000771814;0.000451064
3577.99;4208.42;GND;POWER;0.000771814;0.000775337;-0.00200786
3577.99;4208.42;POWER;BOTTOM_LAYER;0.000775337;0.000775608;-0.00200786
3577.99;4234.01;TOP_LAYER;GND;0.00076694;0.000765843;0.008129
3577.99;4234.01;GND;POWER;0.000765843;0.000771959;-0.00348584
3577.99;4234.01;POWER;BOTTOM_LAYER;0.000771959;0.000772429;-0.00348584
3586.85;3297.99;TOP_LAYER;GND;0.00144216;0.00144223;-0.000542855
3586.85;3297.99;GND;POWER;0.00144223;0.00144301;-0.000445118
3586.85;3297.99;POWER;BOTTOM_LAYER;0.00144301;0.00144307;-0.000445118
3586.85;3337.36;TOP_LAYER;GND;0.00144216;0.00144223;-0.000558994
3586.85;3337.36;GND;POWER;0.00144223;0.00144263;-0.000230187
3586.85;3337.36;POWER;BOTTOM_LAYER;0.00144263;0.00144267;-0.000230187
3586.85;3376.73;TOP_LAYER;GND;0.00144098;0.00144088;0.000716834
3586.85;3376.73;GND;POWER;0.00144088;0.00144206;-0.000668058
3586.85;3376.73;POWER;BOTTOM_LAYER;0.00144206;0.00144214;-0.000668058
3586.85;4365.9;TOP_LAYER;GND;0.000626053;0.000626166;-0.000836215
3586.85;4365.9;GND;POWER;0.000626166;0.000625454;0.000406176
3586.85;4365.9;POWER;BOTTOM_LAYER;0.000625454;0.000625399;0.000406176
3586.85;4405.27;TOP_LAYER;GND;0.000625623;0.000625571;0.000384935
3586.85;4405.27;GND;POWER;0.000625571;0.000625229;0.000194721
3586.85;4405.27;POWER;BOTTOM_LAYER;0.000625229;0.000625203;0.000194721
3586.85;4444.64;TOP_LAYER;GND;0.000625233;0.000625213;0.000151725
3586.85;4444.64;GND;POWER;0.000625213;0.000624876;0.000191652
3586.85;4444.64;POWER;BOTTOM_LAYER;0.000624876;0.00062485;0.000191652
3600.09;3687.75;TOP_LAYER;GND;0.00122177;0.00122167;0.000745689
3600.09;3687.75;GND;POWER;0.00122167;0.00122688;-0.00296899
3600.09;3687.75;POWER;BOTTOM_LAYER;0.00122688;0.00122728;-0.00296899
3601.62;3574.56;TOP_LAYER;GND;0.001251;0.00125203;-0.00762331
3601.62;3574.56;GND;POWER;0.00125203;0.00125082;0.000692017
3601.62;3574.56;POWER;BOTTOM_LAYER;0.00125082;0.00125073;0.000692017
3602.6;4168.07;TOP_LAYER;GND;0.000778409;0.000778369;0.000295947
3602.6;4168.07;GND;POWER;0.000778369;0.000780693;-0.00132449
3602.6;4168.07;POWER;BOTTOM_LAYER;0.000780693;0.000780872;-0.00132449
3604.13;4054.88;TOP_LAYER;GND;0.00080629;0.000806015;0.00203543
3604.13;4054.88;GND;POWER;0.000806015;0.000802239;0.00215221
3604.13;4054.88;POWER;BOTTOM_LAYER;0.000802239;0.000801948;0.00215221
3605.55;3601.14;TOP_LAYER;GND;0.00125356;0.00125203;0.0113273
3605.55;3601.14;GND;POWER;0.00125203;0.0012472;0.0027522
