x;y;layer1;layer2;voltage1;voltage2;current
3526.38;4128.7;GND;POWER;1.11644e-05;1.11466e-05;1.01836e-05
3526.38;4128.7;POWER;BOTTOM_LAYER;1.11466e-05;1.11452e-05;1.01836e-05
3526.38;4160.19;TOP_LAYER;GND;1.09046e-05;1.08947e-05;7.3098e-05
3526.38;4160.19;GND;POWER;1.08947e-05;1.09537e-05;-3.36364e-05
3526.38;4160.19;POWER;BOTTOM_LAYER;1.09537e-05;1.09583e-05;-3.36364e-05
3542.56;3601.14;TOP_LAYER;GND;2.7381e-05;2.73876e-05;-4.86499e-05
3542.56;3601.14;GND;POWER;2.73876e-05;2.71702e-05;0.000123928
3542.56;3601.14;POWER;BOTTOM_LAYER;2.71702e-05;2.71534e-05;0.000123928
3542.56;3632.63;TOP_LAYER;GND;2.70161e-05;2.70402e-05;-0.000178654
3542.56;3632.63;GND;POWER;2.70402e-05;2.71453e-05;-5.99353e-05
3542.56;3632.63;POWER;BOTTOM_LAYER;2.71453e-05;2.71534e-05;-5.99353e-05
3542.56;3664.13;TOP_LAYER;GND;2.66721e-05;2.67147e-05;-0.000315276
3542.56;3664.13;GND;POWER;2.67147e-05;2.68888e-05;-9.92408e-05
3542.56;3664.13;POWER;BOTTOM_LAYER;2.68888e-05;2.69022e-05;-9.92408e-05
3545.08;4081.45;TOP_LAYER;GND;1.14284e-05;1.14275e-05;6.88058e-06
3545.08;4081.45;GND;POWER;1.14275e-05;1.13512e-05;4.34974e-05
3545.08;4081.45;POWER;BOTTOM_LAYER;1.13512e-05;1.13453e-05;4.34974e-05
3545.08;4112.95;TOP_LAYER;GND;1.11534e-05;1.11491e-05;3.19476e-05
3545.08;4112.95;GND;POWER;1.11491e-05;1.11455e-05;2.07369e-06
3545.08;4112.95;POWER;BOTTOM_LAYER;1.11455e-05;1.11452e-05;2.07369e-06
3545.08;4144.45;TOP_LAYER;GND;1.11534e-05;1.11491e-05;3.19476e-05
3545.08;4144.45;GND;POWER;1.11491e-05;1.11455e-05;2.07369e-06
3545.08;4144.45;POWER;BOTTOM_LAYER;1.11455e-05;1.11452e-05;2.07369e-06
3547.48;3297.99;TOP_LAYER;GND;3.45333e-05;3.45394e-05;-4.5107e-05
